"Serie","cvegeo","Entidad_federativa","Periodo","Menores_de_5_años-desnutrición|Nacional/Total","Menores_de_5_años-desnutrición|Urbana","Menores_de_5_años-desnutrición|Rural","Menores_de_5_años-desnutrición|Hombres","Menores_de_5_años-desnutrición|Mujeres",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	00,"Estados_Unidos_Mexicanos","2024","16.57","16.06","18.1","16.42","16.71",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	01,"Aguascalientes","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	02,"Baja_California","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	03,"Baja_California_Sur","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	04,"Campeche","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	05,"Coahuila_de_Zaragoza","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	06,"Colima","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	07,"Chiapas","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	08,"Chihuahua","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	09,"Ciudad_de_México","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	10,"Durango","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	11,"Guanajuato","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	12,"Guerrero","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	13,"Hidalgo","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	14,"Jalisco","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	15,"México","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	16,"Michoacán_de_Ocampo","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	17,"Morelos","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	18,"Nayarit","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	19,"Nuevo_León","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	20,"Oaxaca","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	21,"Puebla","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	22,"Querétaro","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	23,"Quintana_Roo","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	24,"San_Luis_Potosí","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	25,"Sinaloa","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	26,"Sonora","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	27,"Tabasco","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	28,"Tamaulipas","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	29,"Tlaxcala","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	30,"Veracruz_de_Ignacio_de_la_Llave","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	31,"Yucatán","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	32,"Zacatecas","2024","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	00,"Estados_Unidos_Mexicanos","2023","17.2","16.56","18.94","15.82","18.65",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	01,"Aguascalientes","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	02,"Baja_California","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	03,"Baja_California_Sur","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	04,"Campeche","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	05,"Coahuila_de_Zaragoza","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	06,"Colima","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	07,"Chiapas","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	08,"Chihuahua","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	09,"Ciudad_de_México","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	10,"Durango","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	11,"Guanajuato","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	12,"Guerrero","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	13,"Hidalgo","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	14,"Jalisco","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	15,"México","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	16,"Michoacán_de_Ocampo","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	17,"Morelos","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	18,"Nayarit","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	19,"Nuevo_León","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	20,"Oaxaca","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	21,"Puebla","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	22,"Querétaro","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	23,"Quintana_Roo","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	24,"San_Luis_Potosí","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	25,"Sinaloa","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	26,"Sonora","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	27,"Tabasco","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	28,"Tamaulipas","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	29,"Tlaxcala","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	30,"Veracruz_de_Ignacio_de_la_Llave","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	31,"Yucatán","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	32,"Zacatecas","2023","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	00,"Estados_Unidos_Mexicanos","2022","13.9","13.8","14.3","12.4","15.5",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	01,"Aguascalientes","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	02,"Baja_California","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	03,"Baja_California_Sur","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	04,"Campeche","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	05,"Coahuila_de_Zaragoza","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	06,"Colima","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	07,"Chiapas","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	08,"Chihuahua","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	09,"Ciudad_de_México","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	10,"Durango","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	11,"Guanajuato","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	12,"Guerrero","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	13,"Hidalgo","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	14,"Jalisco","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	15,"México","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	16,"Michoacán_de_Ocampo","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	17,"Morelos","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	18,"Nayarit","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	19,"Nuevo_León","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	20,"Oaxaca","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	21,"Puebla","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	22,"Querétaro","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	23,"Quintana_Roo","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	24,"San_Luis_Potosí","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	25,"Sinaloa","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	26,"Sonora","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	27,"Tabasco","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	28,"Tamaulipas","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	29,"Tlaxcala","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	30,"Veracruz_de_Ignacio_de_la_Llave","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	31,"Yucatán","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	32,"Zacatecas","2022","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	00,"Estados_Unidos_Mexicanos","2021","14.2","12.1","20.1","14.9","13.6",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	01,"Aguascalientes","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	02,"Baja_California","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	03,"Baja_California_Sur","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	04,"Campeche","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	05,"Coahuila_de_Zaragoza","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	06,"Colima","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	07,"Chiapas","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	08,"Chihuahua","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	09,"Ciudad_de_México","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	10,"Durango","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	11,"Guanajuato","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	12,"Guerrero","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	13,"Hidalgo","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	14,"Jalisco","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	15,"México","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	16,"Michoacán_de_Ocampo","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	17,"Morelos","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	18,"Nayarit","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	19,"Nuevo_León","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	20,"Oaxaca","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	21,"Puebla","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	22,"Querétaro","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	23,"Quintana_Roo","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	24,"San_Luis_Potosí","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	25,"Sinaloa","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	26,"Sonora","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	27,"Tabasco","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	28,"Tamaulipas","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	29,"Tlaxcala","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	30,"Veracruz_de_Ignacio_de_la_Llave","2021","ND","ND","ND","ND","ND",
"Porcentaje_de_la_población_menor_de_5_años_que_presenta_algún_tipo_de_desnutrición",	31,"Yucatán","2021","ND","ND","ND","ND","ND",
